Col	Row	Sps1	Sps2	C-scoreObs	C-scoreExp	p.less	p.greater	ses
12	20	S12	S20	0	1.948	0.026973026973027	1	-6.11752212281058
12	21	S12	S21	0	1.95	0.025974025974026	1	-6.24187471838389
12	22	S12	S22	0	1.958	0.021978021978022	1	-6.82439950262502
13	24	S13	S24	455	173.958	1	0.001998001998002	3.53710136459554
14	15	S14	S15	0	0.985	0.015984015984016	1	-8.09944442539116
14	17	S14	S17	0	0.994	0.00699300699300699	1	-12.8647191963136
14	18	S14	S18	0	0.986	0.014985014985015	1	-8.38797608825531
14	19	S14	S19	0	0.985	0.015984015984016	1	-8.09944442539116
14	20	S14	S20	0	0.992	0.00899100899100899	1	-11.1299595686597
14	21	S14	S21	0	0.995	0.00599400599400599	1	-14.0996808474518
14	22	S14	S22	0	0.988	0.012987012987013	1	-9.0692337052256
14	23	S14	S23	0	2.937	0.021978021978022	1	-6.82439950262502
15	17	S15	S17	0	0.988	0.012987012987013	1	-9.0692337052256
15	18	S15	S18	0	0.997	0.003996003996004	1	-18.2208945993329
15	19	S15	S19	0	0.985	0.015984015984016	1	-8.09944442539116
15	20	S15	S20	0	0.989	0.011988011988012	1	-9.47729823410564
15	21	S15	S21	0	0.992	0.00899100899100899	1	-11.1299595686597
15	22	S15	S22	0	0.99	0.010989010989011	1	-9.94489818952411
15	23	S15	S23	0	2.883	0.03996003996004	1	-4.96149016076668
16	24	S16	S24	448	176.622	1	0.001998001998002	3.48314410883385
16	25	S16	S25	320	127.18	1	0.011988011988012	2.84713995300116
17	18	S17	S18	0	0.991	0.00999000999000999	1	-10.4881361547226
17	19	S17	S19	0	0.993	0.00799200799200799	1	-11.9044229475555
17	20	S17	S20	0	0.993	0.00799200799200799	1	-11.9044229475555
17	21	S17	S21	0	0.988	0.012987012987013	1	-9.0692337052256
17	22	S17	S22	0	0.991	0.00999000999000999	1	-10.4881361547226
17	23	S17	S23	0	2.919	0.027972027972028	1	-6.00008333275464
18	19	S18	S19	0	0.992	0.00899100899100899	1	-11.1299595686597
18	20	S18	S20	0	0.993	0.00799200799200799	1	-11.9044229475555
